Timestamp,Vehicle_Count
2022-02-11 12-20-03,7
2022-02-11 12-31-43,10
2022-02-11 12-35-24,5
2022-02-11 12-41-44,0
2022-02-11 12-47-24,8
2022-02-11 12-51-24,12
2022-02-11 12-59-44,4
2022-02-11 13-08-45,9
2022-02-11 13-10-45,8
2022-02-11 13-17-05,6
2022-02-11 13-21-25,1
2022-02-11 13-27-25,11
2022-02-11 13-30-45,1
2022-02-11 13-40-46,6
2022-02-11 13-45-46,11
2022-02-11 13-52-26,8
2022-02-11 13-56-46,12
2022-02-11 13-59-46,7
2022-02-11 14-05-06,13
2022-02-11 14-13-27,11
2022-02-11 14-15-27,8
2022-02-11 14-20-27,8
2022-02-11 14-24-47,12
2022-02-11 14-30-07,6
2022-02-11 14-35-47,8
2022-02-11 14-39-48,12
2022-02-11 14-45-08,6
2022-02-11 14-50-08,11
2022-02-11 14-55-48,6
2022-02-11 15-01-48,12
2022-02-11 15-06-08,6
2022-02-11 15-12-29,11
2022-02-11 15-17-29,0
2022-02-11 15-20-29,11
2022-02-11 15-24-09,3
2022-02-11 15-29-49,9
2022-02-11 15-35-29,13
2022-02-11 15-42-30,3
2022-02-11 15-45-10,11
2022-02-11 15-51-50,7
2022-02-11 15-56-10,8
2022-02-11 16-00-30,9
2022-02-11 16-05-10,9
2022-02-11 16-10-30,13
2022-02-11 16-13-11,4
2022-02-11 16-19-51,8
2022-02-11 16-26-31,6
2022-02-11 16-31-11,7
2022-02-11 16-35-31,3
2022-02-11 16-38-52,3
2022-02-11 16-46-32,5
2022-02-11 16-51-32,9
2022-02-11 16-55-52,13
2022-02-11 17-00-52,11
2022-02-11 17-05-12,9
2022-02-11 17-10-13,8
2022-02-11 17-14-33,17
2022-02-11 17-19-53,12
2022-02-11 17-31-53,9
2022-02-11 17-35-33,11
2022-02-11 17-41-54,12
2022-02-11 17-45-14,13
2022-02-11 17-48-34,6
2022-02-11 17-53-34,14
2022-02-11 17-58-34,7
2022-02-11 18-03-14,11
2022-02-11 18-11-55,9
2022-02-11 18-15-15,14
2022-02-11 18-20-15,13
2022-02-11 18-26-15,12
2022-02-11 18-29-55,10
2022-02-11 18-36-15,15
2022-02-11 18-41-56,16
2022-02-11 18-47-56,9
2022-02-11 18-51-56,11
2022-02-11 18-59-56,15
2022-02-11 19-03-56,10
2022-02-11 19-08-57,10
2022-02-11 19-12-57,12
2022-02-11 19-18-37,9
2022-02-11 19-25-57,7
2022-02-11 19-29-57,2
2022-02-11 19-35-17,5
2022-02-11 19-38-58,5
2022-02-11 19-44-18,3
2022-02-11 19-49-58,4
2022-02-11 19-53-18,3
2022-02-11 20-00-38,5
2022-02-11 20-07-19,4
2022-02-11 20-19-39,4
2022-02-11 20-24-19,2
2022-02-11 20-29-19,3
2022-02-11 20-34-40,2
2022-02-11 20-39-20,3
2022-02-11 20-44-00,1
2022-02-11 20-50-00,2
2022-02-11 20-54-00,2
2022-02-11 20-58-41,2
2022-02-11 21-05-21,5
2022-02-11 21-11-01,3
2022-02-11 21-13-41,3
2022-02-11 21-21-01,2
2022-02-11 21-25-21,4
2022-02-11 21-30-02,3
2022-02-11 21-35-42,0
2022-02-11 21-41-02,3
2022-02-11 21-45-22,4
2022-02-11 21-48-22,2
2022-02-11 21-54-03,2
2022-02-11 21-58-03,2
2022-02-11 22-06-03,1
2022-02-11 22-08-43,2
2022-02-11 22-14-43,3
2022-02-11 22-19-23,4
2022-02-11 22-26-04,2
2022-02-11 22-29-44,1
2022-02-11 22-36-04,2
2022-02-11 22-39-24,3
2022-02-11 22-44-44,2
2022-02-11 22-48-45,3
2022-02-11 22-56-45,3
2022-02-11 22-58-45,3
2022-02-11 23-03-45,1
2022-02-11 23-09-25,4
2022-02-11 23-15-26,1
2022-02-11 23-19-26,0
2022-02-11 23-23-46,3
2022-02-11 23-29-26,1
2022-02-11 23-33-06,0
2022-02-11 23-38-26,0
2022-02-11 23-45-27,4
2022-02-11 23-49-47,2
2022-02-11 23-56-47,0
2022-02-11 23-59-07,2
2022-02-12 00-03-07,2
2022-02-12 00-08-07,0
2022-02-12 00-15-08,1
2022-02-12 00-20-08,2
2022-02-12 00-25-28,2
2022-02-12 00-29-28,3
2022-02-12 00-35-08,1
2022-02-12 00-39-28,0
2022-02-12 00-45-09,2
2022-02-12 00-49-49,0
2022-02-12 00-56-09,0
2022-02-12 00-58-49,0
2022-02-12 01-05-09,2
2022-02-12 01-11-50,1
2022-02-12 01-14-30,0
2022-02-12 01-20-10,0
2022-02-12 01-29-30,1
2022-02-12 01-34-11,0
2022-02-12 01-39-31,0
2022-02-12 01-45-11,1
2022-02-12 01-50-11,1
2022-02-12 01-54-11,1
2022-02-12 01-58-52,0
2022-02-12 02-03-52,0
2022-02-12 02-08-52,0
2022-02-12 02-16-12,0
2022-02-12 02-18-12,0
2022-02-12 02-24-32,1
2022-02-12 02-29-13,0
2022-02-12 02-35-33,0
2022-02-12 02-39-33,0
2022-02-12 02-45-13,1
2022-02-12 02-49-33,0
2022-02-12 02-55-34,1
2022-02-12 02-59-34,0
2022-02-12 03-01-54,0
2022-02-12 03-09-34,1
2022-02-12 03-15-34,0
2022-02-12 03-19-55,0
2022-02-12 03-26-15,0
2022-02-12 03-30-35,1
2022-02-12 03-33-55,0
2022-02-12 03-38-55,1
2022-02-12 03-44-36,0
2022-02-12 03-48-16,1
2022-02-12 03-53-56,0
2022-02-12 03-58-16,0
2022-02-12 04-04-36,0
2022-02-12 04-08-16,0
2022-02-12 04-12-57,0
2022-02-12 04-19-17,0
2022-02-12 04-22-57,0
2022-02-12 04-29-57,0
2022-02-12 04-35-37,0
2022-02-12 04-39-18,0
2022-02-12 04-50-38,0
2022-02-12 04-54-58,0
2022-02-12 04-59-18,0
2022-02-12 05-04-19,0
2022-02-12 05-12-19,0
2022-02-12 05-15-19,0
2022-02-12 05-20-19,0
2022-02-12 05-23-59,0
2022-02-12 05-29-39,0
2022-02-12 05-39-20,2
2022-02-12 05-45-00,0
2022-02-12 05-48-20,1
2022-02-12 05-53-00,0
2022-02-12 05-58-01,0
2022-02-12 06-10-01,0
2022-02-12 06-14-21,1
2022-02-12 06-20-01,2
2022-02-12 06-24-02,4
2022-02-12 06-31-02,0
2022-02-12 06-34-42,0
2022-02-12 06-39-02,5
2022-02-12 06-44-02,1
2022-02-12 06-49-23,0
2022-02-12 06-56-43,0
2022-02-12 06-59-23,4
2022-02-12 07-05-23,2
2022-02-12 07-11-23,1
2022-02-12 07-15-03,11
2022-02-12 07-19-44,5
2022-02-12 07-23-44,3
2022-02-12 07-30-04,2
2022-02-12 07-35-24,5
2022-02-12 07-40-04,5
2022-02-12 07-45-24,6
2022-02-12 07-50-25,8
2022-02-12 07-54-25,8
2022-02-12 08-00-45,1
2022-02-12 08-06-05,4
2022-02-12 08-08-25,11
2022-02-12 08-15-05,8
2022-02-12 08-20-26,2
2022-02-12 08-26-06,11
2022-02-12 08-29-46,6
2022-02-12 08-35-26,7
2022-02-12 08-41-46,9
2022-02-12 08-45-27,3
2022-02-12 08-50-07,8
2022-02-12 08-54-27,9
2022-02-12 09-01-47,10
2022-02-12 09-06-07,12
2022-02-12 09-11-48,8
2022-02-12 09-16-08,2
2022-02-12 09-23-08,10
2022-02-12 09-26-08,3
2022-02-12 09-32-28,7
2022-02-12 09-38-48,7
2022-02-12 09-40-48,7
2022-02-12 09-45-49,10
2022-02-12 09-51-29,11
2022-02-12 09-59-29,6
2022-02-12 10-03-09,9
2022-02-12 10-08-09,8
2022-02-12 10-10-49,12
2022-02-12 10-16-30,5
2022-02-12 10-21-10,4
2022-02-12 10-26-10,7
2022-02-12 10-30-30,6
2022-02-12 10-37-50,6
2022-02-12 10-42-30,8
2022-02-12 10-46-30,9
2022-02-12 10-51-11,7
2022-02-12 10-57-51,9
2022-02-12 11-04-31,11
2022-02-12 11-10-31,8
